Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,DMT_Mean_Thickness,TFK_Mean_Thickness,Wafer_Example
-135.6,-57.5,8,13.865,6.538,3.77,22.6,1.504,11452.94,11439.075,AANBD260TEF7
-135.6,57.5,8,18.92,4.129,10.68,23.22,1.504,11458.37,11439.45,AANBD260TEF7
-119.3,-3.3,8,6.356,2.516,2.26,10.25,1.499,11359.844,11353.487,AANBD260TEF7
-96.3,-57.5,8,11.634,2.32,8.89,14.89,1.04,11376.209,11364.575,AANBD260TEF7
-96.3,96.3,8,12.052,3.199,8.07,15.94,0.721,11322.328,11310.275,AANBD260TEF7
-71.6,62.4,8,9.571,2.259,6.17,12.21,1.38,11407.746,11398.175,AANBD260TEF7
-57.5,-135.6,8,5.914,8.609,-5.46,22.5,1.504,11454.589,11448.675,AANBD260TEF7
-57.5,-96.3,8,11.82,2.758,8.86,17.34,1.04,11376.982,11365.162,AANBD260TEF7
-57.5,18.7,8,17.707,1.453,15.82,20.72,1.586,11480.945,11463.238,AANBD260TEF7
-57.5,96.3,8,11.059,2.165,6.98,13.16,1.04,11376.221,11365.162,AANBD260TEF7
-57.5,135.6,8,22.187,6.759,12.86,31.85,1.504,11463.525,11441.338,AANBD260TEF7
-47.7,-36.2,8,13.865,1.327,11.89,16.03,0.695,11483.852,11469.988,AANBD260TEF7
-18.7,-57.5,8,16.81,1.921,13.56,19.56,1.586,11481.622,11464.812,AANBD260TEF7
-18.7,57.5,8,15.975,2.484,12.44,20.56,1.586,11481.2,11465.225,AANBD260TEF7
0.0,-134.9,8,9.724,2.765,4.08,12.43,0.247,11324.161,11314.438,AANBD260TEF7
0.0,-1.8,8,19.122,5.758,5.9,23.49,3.662,11566.672,11547.55,AANBD260TEF7
0.0,126.7,8,13.549,2.951,10.13,17.54,1.428,11347.836,11334.287,AANBD260TEF7
18.7,-96.3,8,11.389,1.695,8.77,13.21,1.398,11401.676,11390.287,AANBD260TEF7
18.7,-20.2,8,15.99,1.365,13.68,17.78,2.14,11531.74,11515.75,AANBD260TEF7
18.7,18.7,8,19.259,2.119,14.98,22.03,1.841,11536.071,11516.812,AANBD260TEF7
18.7,96.3,8,12.825,2.783,9.39,16.15,1.398,11401.975,11389.15,AANBD260TEF7
57.5,-135.6,8,7.429,9.773,-5.95,20.88,1.504,11452.641,11445.213,AANBD260TEF7
57.5,57.5,8,14.506,2.66,10.69,19.09,1.282,11428.469,11413.962,AANBD260TEF7
71.6,-69.1,8,8.646,2.673,5.11,12.72,0.823,11399.221,11390.575,AANBD260TEF7
71.6,-3.3,8,11.087,1.627,7.93,12.84,1.036,11444.0,11432.913,AANBD260TEF7
71.6,126.7,8,0.857,2.445,-3.7,4.99,1.635,11308.032,11307.175,AANBD260TEF7
95.5,62.4,8,6.371,1.988,2.7,8.79,1.543,11367.046,11360.675,AANBD260TEF7
96.3,-96.3,8,12.874,2.694,9.77,16.31,0.721,11321.624,11308.75,AANBD260TEF7
96.3,18.7,8,12.217,2.216,9.25,15.6,1.398,11399.98,11387.763,AANBD260TEF7
135.6,18.7,8,14.754,2.569,10.61,18.34,1.771,11316.954,11302.2,AANBD260TEF7
141.7,-36.2,8,-25.379,3.154,-32.1,-22.11,1.467,11306.896,11332.275,AANBD260TEF7
