WaferID,Tool,Mean_Thickness,Std_Thickness,Count
AANBD234TEC0,DMT,11440.29,65.06,31
AANBD247TEE4,DMT,11401.07,78.78,31
AANBD258TEF7,DMT,11429.19,64.66,31
AANBD260TEF7,DMT,11413.33,81.03,31
AANBD234TEC0,TFK,11433.18,62.99,31
AANBD247TEE4,TFK,11394.33,76.04,31
AANBD258TEF7,TFK,11421.52,61.09,31
AANBD260TEF7,TFK,11405.98,77.84,31
AANBD159TED5,BTM,3334.26,7.5,31
AANBD160TEG6,BTM,3334.84,7.51,31
AANBD182TEC1,BTM,3350.45,12.4,31
AANBD183TEG3,BTM,3360.71,7.61,31
AANBD202TEC1,BTM,3346.52,12.11,31
AANBD204TED2,BTM,3358.71,7.32,31
AANBD216TEB4,BTM,3360.06,7.56,31
AANBD252TEC4,BTM,3357.55,7.38,31
AHJYE733TMA3,BTM,3368.13,11.12,31
GD2SM303JKA0,BTM,3347.03,23.7,31
GD2SM325JKC6,BTM,3359.68,10.59,31
GD2SM381JKF3,BTM,3364.55,11.6,31
GD7LB587JKG0,BTM,3358.1,11.03,31
GD7LB589JKH1,BTM,3347.87,21.3,31
GD7LB591JKH1,BTM,3349.35,18.55,31
WMCTE191ESB7,BTM,3348.29,20.95,31
